status,title,month,year,word_count,interaction,finance,week_recommend,fans_count,author,popularity,platform,novel_id,category,is_sign,abstract,IP_Score
0,异度旅社,8,2025,1920600,3439200,28790,29300,99,远瞳,907112,qidian,1041604040,时空穿梭,0,在日常之下，在理性尽头，在你所熟悉的世界之外——是你从未想象过的风景。 当于生第一次打开那扇门的时候，他所熟悉的世界便轰然倒塌。 而那直抵世界根源的“真相”，扑面而来。,80.10168566943872
0,赤心巡天,8,2025,10417600,7430300,24975,19300,79,情何以甚,3869434,qidian,1016530091,古典仙侠,0,（《赤心巡天》实体书已在全网发售。） 上古时代，妖族绝迹。近古时代，龙族消失。神道大昌的时代已经如烟，飞剑绝巅的时代终究沉沦…… 这个世界发生了什么？ 那埋葬于时间长河里的历史真相，谁来聆听？ 山河千里写伏尸，乾坤百年描饿虎。 天地至公如无情， 我有赤心一颗、以巡天！ —————— 欢迎来到，情何以甚的仙侠世界。,84.2462278807133
0,借剑,8,2025,1070800,356599,27851,5911,19,幼儿园一把手,650967,qidian,1045165156,幻想修仙,0,“就在刚才，我的剑被一声【万剑归宗】给叫走了，怎么办？” “在线等，挺急的，也不知道还不还……”,76.71390302937044
0,青山,8,2025,1749500,2193400,15839,9198,45,会说话的肘子,1323811,qidian,1033014772,东方玄幻,0,少时光阴长，泼酒翻红巷。权为砖墙利为瓦，宾朋倚满帐。 醒来恨日短，大梦二十转。忽觉同行常八九，真心无二三。 噫吁兮，听雪孤舟上，坐看天地远。,78.36522596437749
0,1979黄金时代,8,2025,2966500,3088000,3445,4643,8,睡觉会变白,927060,qidian,1039689097,都市生活,0,这还是一个有点怀旧的故事，嗯………………,71.96063585795778
0,诡秘之主,8,2025,4467700,35982300,24239,25299,348,爱潜水的乌贼,17532599,qidian,1010868264,异世大陆,0,诡秘之主动画已经在腾讯视频上播出，欢迎大家前去观看！ 蒸汽与机械的浪潮中，谁能触及非凡？历史和黑暗的迷雾里，又是谁在耳语？我从诡秘中醒来，睁眼看见这个世界： 枪械，大炮，巨舰，飞空艇，差分机；魔药，占卜，诅咒，倒吊人，封印物……光明依旧照耀，神秘从未远离，这是一段“愚者”的传说。,89.82523117297255
0,我的化身正在成为最终BOSS,8,2025,1792100,370400,3461,909,15,汐尺,600156,qidian,1042464636,原生幻想,0,平平无奇地生活了十多年后，某天夜里，姬明欢忽然觉醒了一个能够“在现实世界创建游戏角色”的异能，并且每一个角色都有自己的主线任务、独特的技能树系统。 自那之后他一发不可收拾，在现实世界不断创建新的角色、开发技能树、培养角色系统……只要提升角色的知名度就能加强角色的能力，于是他开始大肆捣乱，为了吸引眼球而无所不用其极，像是一根搅屎棍似的在一众超级英雄和超级反派里反复周旋。 等回过神时，姬明欢坐在月球上盯着满目苍痍的蓝星，不禁低声感慨道： “我一开始真没想毁灭世界。”,68.59393205987539
0,剑出大唐,8,2025,1452700,728199,493,594,3,一片苏叶,521922,qidian,1043632678,武侠幻想,0,周奕一觉醒来，发现自己身处太平道场。 老天师：“苍天已死，黄天当立，以后你便是太平教主。” 周奕：“什么，我？” …… 大唐双龙世界，落榜艺术生，整顿乱世江湖！,61.51179828352841
0,山河稷,8,2025,1974700,845100,58026,9618,405,姬叉,661221,qidian,1043748975,幻想修仙,0,且夫天地为炉兮，造化为工；阴阳为炭兮，万物为铜。 ——终有一天，要让这祭炼世界的炉火，换成属于我的火焰。 ——稷，祀也，社而稷之。,80.45555899843096
0,捞尸人,9,2025,4734100,5162400,169211,60500,351,纯洁滴小龙,6830245,qidian,1041637443,异术超能,0,人知鬼恐怖，鬼晓人心毒。 这是一本传统灵异小说。,92.67222577192861
