status,title,month,year,word_count,interaction,finance,week_recommend,fans_count,author,popularity,novel_id,category,is_sign,abstract,IP_Score,interaction_rate,gold_content,fans_activity,weekly_intensity,word_count_log,popularity_log,interaction_log,finance_log,plat_qidian,plat_zongheng,cat_东方玄幻,cat_修真文明,cat_其他,cat_历史,cat_原生幻想,cat_古典仙侠,cat_幻想修仙,cat_异世大陆,cat_异术超能,cat_时空穿梭,cat_武侠仙侠,cat_玄幻奇幻,cat_科幻,cat_衍生同人,cat_都市,cat_都市生活,title_length,abstract_length,has_abstract
0,逆天邪神,3,2020,7859450,3857449,1431,12671,292,火星引力,339035084,408586,玄幻奇幻,1,,84.63077840145995,0.011377728060209463,1.8207378606979037,7.56976759258059e-05,0.003284812505670845,15.877227314637707,19.64161415556465,15.16551690137265,7.266827347520591,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,0,0
0,一剑独尊,3,2020,9540676,20514774,1674,18,2,青鸾峰上,423136005,777234,玄幻奇幻,1,,87.57102832528795,0.04848269518335436,1.7545924675995215,9.749071096319604e-08,8.774163986687643e-07,16.071075005267204,19.863204212518525,16.836655916213584,7.423568444259167,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,0,0
0,骑士征程,3,2020,10905704,189136,1154,12,0,我爱小豆,12252913,722486,玄幻奇幻,1,,71.77425805603289,0.015436001591131709,1.0581617602896833,0.0,6.344607348112743e-05,16.204796604771662,16.321274344217652,12.150226899176925,7.051855622955894,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,0,0
0,踏星,3,2020,17017670,1348783,1127,71,13,随散飘风,130676657,718689,科幻,1,,80.07158534126336,0.010321529649158919,0.6622527841794568,9.638311249243764e-06,5.264000759202363e-05,16.649762832733263,18.688236570449096,14.114714003763165,7.028201432058005,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2,0,0
0,剑仙在此,4,2020,5102580,10135671,19679,54,0,乱世狂刀,96127088,907701,玄幻奇幻,1,,92.2544221043417,0.10544031974171193,38.56675670606699,0.0,5.327717787236998e-06,15.445257048111426,18.381181717673577,16.13157164055423,9.887358170606245,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,0,0
0,剑来,4,2020,13059580,18728312,13474,5944,16,烽火戏诸侯,353533751,672340,武侠仙侠,1,,94.9373025242054,0.05297460820657372,10.317329476343842,8.543214757250159e-07,0.0003173804282318434,16.385032598602645,19.68348951823383,16.74554700095641,9.508591395777199,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2,0,0
0,一世独尊,4,2020,7830380,243034,13387,32,0,月如火,28777308,578305,玄幻奇幻,1,,83.65367921850674,0.008445334482108803,17.096230694266346,0.0,0.00013166827823153044,15.873521725787006,17.175097752619628,12.400960744872751,9.502114062331216,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,0,0
0,赘婿出山,4,2020,7860552,1861547,12486,68,1,李闲鱼,32105604,926696,都市,1,,85.81376160967751,0.05798199410975124,15.884378618145568,5.371873301145069e-07,3.652873844778647e-05,15.877367518164602,17.28454118344949,14.436918957619193,9.432443382115146,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,0,0
0,盖世,4,2020,6387336,6602748,8967,32,0,逆苍天,52249820,850594,玄幻奇幻,1,,87.18142379054166,0.1263688156941246,14.038714412594796,0.0,4.8464662218721325e-06,15.669827994577494,17.771547022966004,15.702996635429812,9.101417964751995,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2,0,0
0,国医无双,4,2020,2986690,688169,11474,0,0,步履无声,7652363,963767,都市,1,,80.61464934877304,0.08992894221968531,38.41709771784225,0.0,0.0,14.909676643571244,15.850525177673838,13.441791179416283,9.347926034928745,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,0,0
