title,author,category,abstract,status,platform,word_count,popularity,interaction,finance,fans_count,week_recommend
十方乾坤,神出古异,武侠仙侠,,完结,Zongheng,5602605,24553347,78649,118,733,0
末世无限吞噬,风雨神话,科幻,,完结,Zongheng,3534749,4249902,13227,45,291,0
人间最得意,平生未知寒,武侠仙侠,,完结,Zongheng,3143926,2862192,21051,201,636,5
匠心,沙包,都市,,完结,Zongheng,2712125,2176227,151172,35,219,40
大魏王侯,淡墨青衫,历史,,完结,Zongheng,2180628,1016855,97486,33,118,0
寻龙迷踪,唐家太公,武侠仙侠,,完结,Zongheng,3191583,141516,4142,165,143,0
剑骨,会摔跤的熊猫,武侠仙侠,,完结,Zongheng,4552177,7898658,82676,73,941,0
一剑独尊,青鸾峰上,玄幻奇幻,,完结,Zongheng,9540676,423149519,20514786,1560,14013,10
重生之低调大亨,易水寒春秋,都市,,完结,Zongheng,4795811,3256052,46289,43,81,1
大侠萧金衍,三观犹在,武侠仙侠,,完结,Zongheng,2132145,5631235,81639,167,462,0
碧海风云之谋定天下,明海山,历史,,完结,Zongheng,1571407,442209,97350,116,65,0
医流武神,潇铭,都市,,完结,Zongheng,6243629,3866023,51053,3290,767,0
太平客栈,莫问江湖,武侠仙侠,,完结,Zongheng,5924926,6361185,43783,78,503,0
决不能怂,心情马甲,玄幻奇幻,,完结,Zongheng,2352750,116069,12329,276,39,0
流浪之城,天府酒客,科幻,,完结,Zongheng,2223360,835532,48213,186,127,0
吞海,他曾是少年,玄幻奇幻,,完结,Zongheng,2217755,1143925,19031,32,173,0
市井之徒,对井当歌,都市,,完结,Zongheng,4174891,1605683,21936,180,169,0
仙穹之巅,勿问今生,玄幻奇幻,,完结,Zongheng,2300306,47026,4897,83,16,0
北宋柱国,布衣相卿,历史,,完结,Zongheng,899869,147201,916,37,6,0
金币即是正义,盘古混沌,N次元,,完结,Zongheng,6845889,1284737,105268,494,678,49
都市超级医生,老黄羽,都市,,完结,Zongheng,2531470,54299574,787268,55,493,0
跃马大明,纸花船,历史,,完结,Zongheng,3897882,1370332,23923,34,65,0
帝世无双,雨暮浮屠,玄幻奇幻,,完结,Zongheng,9853385,66915807,905281,116,504,0
时空法则,千方明灭,玄幻奇幻,,连载,Zongheng,1405652,2200492,225588,31,14,40
猎天争锋,睡秋,玄幻奇幻,,完结,Zongheng,6360220,13163714,526838,178,444,110
长风一梦入轮回,悟道心,武侠仙侠,,完结,Zongheng,1054257,17827359,38972,369,297,0
万象天劫,西门小陆,玄幻奇幻,,完结,Zongheng,1694946,318996,24620,1520,187,0
盖世,逆苍天,玄幻奇幻,,完结,Zongheng,6387336,52250841,6602788,176,785,32
修真大福星,渡血古巫,武侠仙侠,,完结,Zongheng,3785066,96695,16595,163,70,0
巅峰仙道,寒梅惊雪,玄幻奇幻,,完结,Zongheng,6667238,964127,15732,205,319,0
超自然事务管理局,菲硕莫薯,都市,,完结,Zongheng,3710339,454417,3009,72,48,0
裁决之主,暴怒唐三藏,奇闻异事,,完结,Zongheng,881408,103678,5941,32,27,0
白夜浮生录,夜厌白,N次元,,连载,Zongheng,5809661,166682,87398,50,51,315
浑天记,十二子南申,武侠仙侠,,完结,Zongheng,3885608,3911630,203608,62,421,0
无敌混沌钟,夜猫袈腊,玄幻奇幻,,完结,Zongheng,1034881,102191,6547,57,90,0
道易天下,被水煮的青蛙,武侠仙侠,,完结,Zongheng,3068058,867629,12926,145,46,0
悍卒斩天,三青色,玄幻奇幻,,完结,Zongheng,7601265,4890705,21420,1490,141,0
带着女儿闯末世,松果不是果,科幻,,完结,Zongheng,1097262,50818,1259,54,42,0
无尽海图,道三生,玄幻奇幻,,完结,Zongheng,2583784,530859,18787,45,168,0
神亡禁曲,天下唯剑,科幻,,连载,Zongheng,1957531,79823,7127,67,14,0
囚仙问道,一只只蛛,武侠仙侠,,完结,Zongheng,1036380,5718,4235,33,26,0
笑踏江湖,风萧月寒,武侠仙侠,,完结,Zongheng,1115568,18968,1780,361,19,0
龙武星魂,不老鱼,玄幻奇幻,,完结,Zongheng,1285676,78629,9587,68,20,0
永生才能不灭,千年浩劫,武侠仙侠,,完结,Zongheng,2706332,229943,2527,1525,150,0
追星逐月,金日昆仑,武侠仙侠,,完结,Zongheng,1570669,344697,11641,61,310,0
灯影山河,长安肆少,都市,,完结,Zongheng,725650,452479,66233,66,20,0
踏破太古,易水川,玄幻奇幻,,完结,Zongheng,2614930,246138,11613,230,66,0
空山剑雨,莫白1,玄幻奇幻,,完结,Zongheng,1239564,362985,4738,44,46,0
大厨小婿,烟斗老哥,都市,,完结,Zongheng,3961788,9796508,83910,6202,0,0
天地战记,晴天鱼米,玄幻奇幻,,完结,Zongheng,2005676,417202,5771,63,180,0
九元咒,第一只孤鸿,玄幻奇幻,,完结,Zongheng,1038302,21106,1131,47,19,0
超源心域,心域,玄幻奇幻,,完结,Zongheng,1057682,10675,5045,58,12,0
汴京异闻录,时亦逢,玄幻奇幻,,完结,Zongheng,1005936,6335,1073,31,7,0
凶灵秘闻录,北极猎手,奇闻异事,,完结,Zongheng,9852661,3155722,71914,73,495,11
安启群侠录,一手闲人,武侠仙侠,,完结,Zongheng,642580,27616,3319,184,44,0
元武星空,柚子老君,玄幻奇幻,,完结,Zongheng,476798,1574,367,45,26,0
