title,author_name,word_count,month_tickets,total_recommendation_count,status,category_name,platform,engagement_score
都重生了谁考公务员啊,柳岸花又明,2372100.0,16481,1970400,连载,都市,Qidian,69.18685193736619
重回1982小渔村,米饭的米,7662700.0,11931,1780700,连载,都市,Qidian,15.549936788874842
魅力点满，继承游戏资产,纵伐,4260100.0,11587,736800,连载,都市,Qidian,27.13519589705159
以神通之名,猪心虾仁,967300.0,20637,90300,连载,都市,Qidian,211.16340939322623
刚准备高考，离婚逆袭系统来了,七月封阳,2555000.0,17509,613900,连载,都市,Qidian,68.26120857699804
多我一个后富怎么了,渔雪,2416000.0,5686,710900,连载,都市,Qidian,23.437757625721353
贫道要考大学,转角吻猪,1115300.0,5528,219300,连载,都市,Qidian,49.124677863680795
1984：从破产川菜馆开始,轻语江湖,1583400.0,11575,198299,连载,都市,Qidian,72.6434040416719
重生八一渔猎西北,羁中马,5728099.0,5447,416300,连载,都市,Qidian,9.492690872011794
1987我的年代,三月麻竹,3578000.0,5246,713199,连载,都市,Qidian,14.620958751393534
沸腾时代,瑞根,1640000.0,7015,251800,连载,都市,Qidian,42.515151515151516
Z世代艺术家,起酥面包,1667200.0,5532,959400,连载,都市,Qidian,32.983544001907944
我真没想重生啊,柳岸花又明,3130700.0,1216,4500900,完本,都市,Qidian,3.8717483363581366
从山寨老头乐，到工业霸主,不是大白鸽,812600.0,2786,103600,连载,都市,Qidian,33.86822270848529
非正常美食文,吨吨吨吨吨,2229700.0,4549,952400,连载,都市,Qidian,20.31075590480868
那年华娱,做梦的木头,5724500.0,2456,787099,连载,都市,Qidian,4.2828494201761265
整座大山都是我的猎场,百李山中仙,7131400.0,6500,1110800,连载,都市,Qidian,9.101856778782873
发薪就能变强，我有十亿员工！,今月曾经照古河,3129700.0,4033,181700,连载,都市,Qidian,12.845176290728412
状元郎,三戒大师,1440700.0,22160,314900,连载,历史,Qidian,152.75384297235817
红楼：我和黛玉互穿了,喜欢喝豆浆,535300.0,13625,58500,连载,历史,Qidian,249.86246103062533
大明王朝1627,一橛柴,957200.0,24533,106400,连载,历史,Qidian,253.6497105045492
草芥称王,月关,1004200.0,5909,205400,连载,历史,Qidian,58.2626700847959
