title,author_name,word_count,month_tickets,total_recommendation_count,status,category_name,platform,engagement_score,cluster,tier
瘤剑仙,芬芳老马,1103500.0,646,29700,连载,玄幻,Qidian,5.801526717557252,1,C级普通
皇修,萧舒,3153200.0,286,121600,连载,玄幻,Qidian,0.904147698533131,1,C级普通
王妃，请自重,娘子息怒,868900.0,571,30500,连载,玄幻,Qidian,6.496757310274206,1,C级普通
巡山校尉,一世风流才子,2307000.0,171,72500,连载,玄幻,Qidian,0.7380233059991369,1,C级普通
无上悟性：从死士开始,下雨的九月,979500.0,258,10100,连载,玄幻,Qidian,2.607377463365336,1,C级普通
日夜游神,青山尽墨,2676400.0,265,57100,连载,玄幻,Qidian,0.9864502680166768,1,C级普通
从摸尸开始肉身成圣,江圣凡,1383200.0,312,11200,连载,玄幻,Qidian,2.239448751076658,1,C级普通
百无禁忌,石三,2388700.0,617,79200,连载,玄幻,Qidian,2.572226622753992,1,C级普通
大玄第一侯,东床卧虎,4099000.0,298,34500,连载,玄幻,Qidian,0.7252372840107082,1,C级普通
我有装备栏,佛不度,524800.0,272,10700,连载,玄幻,Qidian,5.086013462976814,1,C级普通
斗破，我的女主们不对劲,恐怖如私,730400.0,294,11200,连载,玄幻,Qidian,3.970826580226904,1,C级普通
这个高武太癫了,光耀大千录,1570700.0,151,59800,完本,玄幻,Qidian,0.9552729803251724,1,C级普通
人在皇宫：从升级化骨绵掌开始,螃蟹慢爬,3525500.0,428,29900,连载,玄幻,Qidian,1.2105784188940742,1,C级普通
让你练生活职业，你肝成神职,爱睡觉懒人,1782500.0,281,16299,连载,玄幻,Qidian,1.5676429567642958,1,C级普通
这届死刑犯的遗产过于离谱,情深不是戏,1676900.0,288,9782,连载,玄幻,Qidian,1.7072736973146008,1,C级普通
武圣从平替法开始,冰冷二号机,725100.0,290,5384,连载,玄幻,Qidian,3.9450414909536113,1,C级普通
从武馆弟子开始百炼成神,小鱼上水,1995500.0,298,47200,连载,玄幻,Qidian,1.4859137372226376,1,C级普通
从采珠疍户开始无限就职,来一块钱月光,1405700.0,205,15700,连载,玄幻,Qidian,1.4480469025923572,1,C级普通
元始法则,飞天鱼,2563900.0,36724,1596000,连载,玄幻,Qidian,142.67842573526556,3,A级潜力
腐朽世界,滚开,457600.0,15681,256200,连载,玄幻,Qidian,335.3507271171942,3,A级潜力
长夜君主,风凌天下,8363600.0,19114,2165800,连载,玄幻,Qidian,22.826502340689785,2,B级腰部
诡秘之主,爱潜水的乌贼,4467700.0,21222,35969000,完本,玄幻,Qidian,47.39486790093128,2,B级腰部
全职法师,乱,7420000.0,1204,4544900,连载,玄幻,Qidian,1.620457604306864,2,B级腰部
亡灵法师，召唤055什么鬼？,卧雪观星,1656800.0,9026,185600,连载,玄幻,Qidian,54.15166786657067,1,C级普通
宿命之环,爱潜水的乌贼,3770400.0,8949,13263900,完本,玄幻,Qidian,23.67209819066765,2,B级腰部
这个地下城长蘑菇了,生吃菌子,1226200.0,12584,396400,连载,奇幻,Qidian,101.79582591813622,1,C级普通
哥布林重度依赖,絮理,1457800.0,6872,373400,连载,奇幻,Qidian,46.81836762501703,1,C级普通
大不列颠之影,趋时,4158900.0,1993,230100,连载,奇幻,Qidian,4.7806375782580535,1,C级普通
我的职业太有个性,团又圆,871000.0,3470,50599,连载,玄幻,Qidian,39.38706015891033,1,C级普通
修仙的我却来到了巫师世界,食草凯门鳄,1159700.0,2134,59500,连载,奇幻,Qidian,18.24399418654356,1,C级普通
超魔术士：开局魔网又崩了,幼稚的空想家,663300.0,1301,63500,连载,奇幻,Qidian,19.322738749443044,1,C级普通
圣女来时不纳粮,稚嫩小菠萝,3479900.0,1511,156500,连载,奇幻,Qidian,4.329636952348205,1,C级普通
诡秘：最后一个牧羊人,日暮途远锦衣夜行,1241300.0,1236,42000,连载,奇幻,Qidian,9.8777271637497,1,C级普通
主人说抽到的词条不能浪费,爱吃面的吟游诗人,554700.0,1068,15500,连载,奇幻,Qidian,18.91269700726049,1,C级普通
战锤：以涅槃之名,群鸦之潮,6368700.0,1069,134900,连载,奇幻,Qidian,1.6758900716446925,1,C级普通
我的设定在你之上！,东山余雨,796600.0,676,21100,连载,奇幻,Qidian,8.380857922142326,1,C级普通
谁把遗言落这了？,南山予鹿,746900.0,911,27700,连载,奇幻,Qidian,12.035936054961024,1,C级普通
万国之国,九鱼,2098000.0,1282,114300,连载,奇幻,Qidian,6.081593927893738,1,C级普通
从加点开始无限进化,梦笔惊鸿,1049600.0,568,21200,连载,奇幻,Qidian,5.360513401283503,1,C级普通
绝夜之旅,Andlao,715200.0,2086,49300,连载,奇幻,Qidian,28.764478764478767,1,C级普通
妈，咱家还要地不要？,麻烦,399799.0,811,8484,连载,奇幻,Qidian,19.79018982476775,1,C级普通
狗头人的巫师日志,立寸山,1281699.0,1009,81199,连载,奇幻,Qidian,7.811417365810455,1,C级普通
幽魂骑士王的地下城工程,深海鱼缸,647800.0,1622,25900,连载,奇幻,Qidian,24.657950744907268,1,C级普通
矢车菊魔女,青空乐章,697099.0,1455,62400,连载,奇幻,Qidian,20.577033767548816,1,C级普通
凛冬领主：从每日情报开始,豆浆配牛排,1463800.0,917,19100,连载,奇幻,Qidian,6.22201112769711,1,C级普通
天启预报,风月,6297600.0,680,2200200,完本,奇幻,Qidian,1.0780645570422982,2,B级腰部
玄鉴仙族,季越人,5076900.0,67128,4458400,连载,仙侠,Qidian,131.96249189093555,0,S级神作
借剑,幼儿园一把手,1057200.0,25437,353500,连载,仙侠,Qidian,238.35269865067465,3,A级潜力
山河稷,姬叉,1961800.0,53368,840500,连载,仙侠,Qidian,270.65625316969266,0,S级神作
没钱修什么仙？,熊狼狗,2712900.0,77213,2616300,连载,仙侠,Qidian,283.5689889456094,0,S级神作
赤心巡天,情何以甚,10407400.0,22285,7420700,连载,仙侠,Qidian,21.39209399658264,2,B级腰部
仙工开物,蛊真人,2740200.0,5813,3056100,连载,仙侠,Qidian,21.1366446076649,1,C级普通
山海提灯,跃千愁,2413400.0,7996,1655200,连载,仙侠,Qidian,32.99496575059833,1,C级普通
俗仙,流浪的蛤蟆,937900.0,6672,459500,连载,仙侠,Qidian,70.38717164257832,1,C级普通
红尘尸仙,一荷知夏,1598600.0,5052,207300,连载,仙侠,Qidian,31.406191719507643,1,C级普通
仙人消失之后,风行水云间,6301300.0,4948,62712800,连载,仙侠,Qidian,7.839906199990493,2,B级腰部
仙道尽头,怕辣的红椒,868500.0,11723,141700,连载,仙侠,Qidian,133.44336937962436,3,A级潜力
凡人修仙传,忘语,7675900.0,2741,15981800,完本,仙侠,Qidian,3.566270703496012,2,B级腰部
阵问长生,观虚,5605200.0,3716,661400,连载,仙侠,Qidian,6.617751816498076,1,C级普通
魔修,白特慢啊,452299.0,10214,43200,连载,仙侠,Qidian,220.93926225235185,3,A级潜力
西游：拦路人！,九月病句,501200.0,4834,59300,连载,仙侠,Qidian,94.56181533646324,1,C级普通
蜀山镇世地仙,东海镇守,2023400.0,5738,357900,连载,仙侠,Qidian,28.218746926330283,1,C级普通
不是吧君子也防,阳小戎,4352600.0,1416,449500,连载,仙侠,Qidian,3.2457708705817634,1,C级普通
乌龙山修行笔记,八宝饭,2079900.0,3805,741800,连载,仙侠,Qidian,18.206612756591223,1,C级普通
从武林门派到长生仙门,任我笑,596200.0,6167,37700,连载,仙侠,Qidian,101.7321016166282,1,C级普通
仙业,鹓扶君,2247600.0,4206,464200,连载,仙侠,Qidian,18.63040396881644,1,C级普通
重启人生,王梓钧,1932200.0,6663,929800,连载,都市,Qidian,34.30645659561322,1,C级普通
捞尸人,纯洁滴小龙,4699600.0,147944,5132000,连载,都市,Qidian,314.1328350603024,0,S级神作
都重生了谁考公务员啊,柳岸花又明,2372100.0,16481,1970400,连载,都市,Qidian,69.18685193736619,1,C级普通
重回1982小渔村,米饭的米,7662700.0,11931,1780700,连载,都市,Qidian,15.549936788874842,2,B级腰部
魅力点满，继承游戏资产,纵伐,4260100.0,11587,736800,连载,都市,Qidian,27.13519589705159,1,C级普通
以神通之名,猪心虾仁,967300.0,20637,90300,连载,都市,Qidian,211.16340939322623,3,A级潜力
刚准备高考，离婚逆袭系统来了,七月封阳,2555000.0,17509,613900,连载,都市,Qidian,68.26120857699804,1,C级普通
多我一个后富怎么了,渔雪,2416000.0,5686,710900,连载,都市,Qidian,23.437757625721357,1,C级普通
贫道要考大学,转角吻猪,1115300.0,5528,219300,连载,都市,Qidian,49.1246778636808,1,C级普通
1984：从破产川菜馆开始,轻语江湖,1583400.0,11575,198299,连载,都市,Qidian,72.6434040416719,1,C级普通
重生八一渔猎西北,羁中马,5728099.0,5447,416300,连载,都市,Qidian,9.492690872011794,1,C级普通
1987我的年代,三月麻竹,3578000.0,5246,713199,连载,都市,Qidian,14.620958751393534,1,C级普通
沸腾时代,瑞根,1640000.0,7015,251800,连载,都市,Qidian,42.51515151515152,1,C级普通
Z世代艺术家,起酥面包,1667200.0,5532,959400,连载,都市,Qidian,32.983544001907944,1,C级普通
我真没想重生啊,柳岸花又明,3130700.0,1216,4500900,完本,都市,Qidian,3.8717483363581366,1,C级普通
从山寨老头乐，到工业霸主,不是大白鸽,812600.0,2786,103600,连载,都市,Qidian,33.86822270848529,1,C级普通
非正常美食文,吨吨吨吨吨,2229700.0,4549,952400,连载,都市,Qidian,20.31075590480868,1,C级普通
那年华娱,做梦的木头,5724500.0,2456,787099,连载,都市,Qidian,4.282849420176127,1,C级普通
整座大山都是我的猎场,百李山中仙,7131400.0,6500,1110800,连载,都市,Qidian,9.101856778782873,2,B级腰部
发薪就能变强，我有十亿员工！,今月曾经照古河,3129700.0,4033,181700,连载,都市,Qidian,12.845176290728412,1,C级普通
状元郎,三戒大师,1440700.0,22160,314900,连载,历史,Qidian,152.75384297235817,3,A级潜力
红楼：我和黛玉互穿了,喜欢喝豆浆,535300.0,13625,58500,连载,历史,Qidian,249.86246103062533,3,A级潜力
大明王朝1627,一橛柴,957200.0,24533,106400,连载,历史,Qidian,253.6497105045492,3,A级潜力
草芥称王,月关,1004200.0,5909,205400,连载,历史,Qidian,58.2626700847959,1,C级普通
九龙夺嫡，我真不想当太子,三山风,1323700.0,2880,77300,连载,历史,Qidian,21.59406163305091,1,C级普通
神话版三国,坟土荒草,23204699.0,5874,11311600,连载,历史,Qidian,2.5302934145301648,2,B级腰部
红楼芳华，权倾天下,爱车的z,1704100.0,8946,123100,连载,历史,Qidian,52.19065398751532,1,C级普通
大哥说我天下无敌,历史系之狼,1288500.0,5485,103200,连载,历史,Qidian,42.24104736234116,1,C级普通
创业在晚唐,痴人陈,2774300.0,4984,99800,连载,历史,Qidian,17.90036993140107,1,C级普通
文豪1879：独行法兰西,长夜风过,1299500.0,4851,61700,连载,历史,Qidian,37.0446735395189,1,C级普通
五代风华,怪诞的表哥,743300.0,4323,100700,连载,历史,Qidian,57.387495021903625,1,C级普通
绍宋,榴弹怕水,2757600.0,2111,3511600,完本,历史,Qidian,7.627547333429686,1,C级普通
朕真的不务正业,吾谁与归,8002800.0,3094,420200,连载,历史,Qidian,3.861321884984026,2,B级腰部
我在俄国当文豪,卡拉马佐夫,1169300.0,2726,93000,连载,历史,Qidian,23.115407445094547,1,C级普通
大宋文豪,西湖遇雨,1289800.0,8092,106700,连载,历史,Qidian,62.25573165102324,1,C级普通
晋末长剑,孤独麦客,5105300.0,1697,1955200,完本,历史,Qidian,3.317498484937345,1,C级普通
高门庶子,一片雪饼,1163100.0,1503,77700,连载,历史,Qidian,12.81220697297758,1,C级普通
远山破阵曲,孑与2,1111200.0,2508,295600,连载,历史,Qidian,22.36889047449161,1,C级普通
神明调查报告,黑山老鬼,1165800.0,30001,213100,连载,科幻,Qidian,255.1539377445144,3,A级潜力
异度旅社,远瞳,1911000.0,25358,3424100,连载,科幻,Qidian,132.00416449765748,3,A级潜力
万历明君,鹤招,1489000.0,3270,613100,连载,历史,Qidian,21.81454302868579,1,C级普通
娘子，别这样！,乌鸦飞呀飞,2994600.0,1179,51300,连载,历史,Qidian,3.923983225720562,1,C级普通
天才游乐场,城城与蝉,449400.0,10817,48700,连载,科幻,Qidian,235.45929473225948,3,A级潜力
堑壕大栓与魔法,咸嘉湖灵感大王,1226500.0,5655,81700,连载,科幻,Qidian,45.7339264051759,1,C级普通
科技入侵现代,鸦的碎碎念,2489900.0,3814,174300,连载,科幻,Qidian,15.256610264410575,1,C级普通
我们小区又穿越了,我有七只猫,635200.0,3491,47900,连载,科幻,Qidian,54.107253564786106,1,C级普通
今天毁灭世界了吗？,如星也,1475500.0,2131,215400,连载,科幻,Qidian,14.34533826994278,1,C级普通
三塔游戏,更从心,2484300.0,1935,158200,连载,科幻,Qidian,7.757687527562843,1,C级普通
废土边境检查官,斤斤斤,1906000.0,6333,165500,连载,科幻,Qidian,33.053235908141964,1,C级普通
黎明之剑,远瞳,6332700.0,2391,12891600,完本,科幻,Qidian,3.769687987765463,2,B级腰部
吞噬星空2起源大陆,我吃西红柿,1508400.0,1071,3314400,完本,科幻,Qidian,7.053477344573235,1,C级普通
这游戏也太真实了,晨星LL,6920300.0,1816,4853100,完本,科幻,Qidian,2.6203771842488783,2,B级腰部
